epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.141,1.90532,2.19469,1.04487,0.32429,0.19542,0.15336,0.08049,1.73506,1.4612,0.97527,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,267.299,1.83988,1.54468,0.98872,0.21725,0.21924,0.16403,0.08542,1.83923,1.4559,0.97376,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,380.085,1.88957,1.53354,0.99349,0.25437,0.2066,0.18086,0.09692,1.82062,1.41302,0.97571,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,489.012,1.85862,1.48572,0.99093,0.29065,0.23958,0.20476,0.10981,1.74153,1.36626,0.96663,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,598.246,1.80601,1.41962,0.97922,0.2953,0.25141,0.21813,0.11934,1.69508,1.32642,0.95677,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,708.057,1.78582,1.3755,0.9708,0.3035,0.24746,0.21966,0.11806,1.70708,1.3245,0.95505,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,817.352,1.74054,1.3319,0.96275,0.33878,0.25388,0.23224,0.12741,1.67433,1.27054,0.95855,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,927.048,1.7306,1.3078,0.95546,0.35092,0.26743,0.24658,0.13589,1.64474,1.24949,0.94348,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1036.88,1.69859,1.27837,0.9518,0.33334,0.26996,0.2476,0.13486,1.62862,1.22883,0.94086,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1146.95,1.70326,1.27589,0.95,0.33224,0.27267,0.24787,0.1376,1.62965,1.22644,0.94463,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1256.67,1.68052,1.25258,0.9452,0.352,0.2647,0.25319,0.14242,1.59629,1.21637,0.93189,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1366.83,1.67946,1.24017,0.94,0.35323,0.28387,0.26366,0.14588,1.59328,1.19601,0.93193,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1476.77,1.66214,1.23075,0.94069,0.3591,0.27517,0.25738,0.14272,1.58985,1.19461,0.93263,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1585.98,1.64098,1.21353,0.9371,0.36547,0.28832,0.26761,0.14918,1.58505,1.18255,0.92351,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1695.22,1.64344,1.20307,0.93335,0.36705,0.30146,0.28235,0.15626,1.55414,1.15175,0.92584,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1804.43,1.63858,1.19735,0.93167,0.3615,0.29601,0.27742,0.15351,1.55707,1.15569,0.92461,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
