epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.788,1.63664,1.54361,0.97488,0.34724,0.26929,0.24845,0.13677,1.56633,1.20014,0.9239,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,351.351,1.63803,1.26047,0.94069,0.37778,0.28738,0.26776,0.147,1.57439,1.28047,0.93057,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,505.907,1.71547,1.30395,0.95392,0.33159,0.25089,0.23671,0.13224,1.62301,1.37645,0.94627,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,657.228,1.70076,1.29019,0.95612,0.36732,0.27417,0.25875,0.14307,1.59999,1.2233,0.94328,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,807.761,1.65233,1.23873,0.94587,0.37116,0.30356,0.27773,0.15614,1.53453,1.18279,0.92816,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,959.173,1.63056,1.20275,0.93719,0.39348,0.29815,0.29064,0.16191,1.51045,1.17086,0.92324,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1110.45,1.59203,1.1666,0.93093,0.41294,0.31266,0.30547,0.17098,1.48901,1.12667,0.91743,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1262.32,1.57651,1.13677,0.92394,0.4165,0.32115,0.31513,0.17992,1.47894,1.09248,0.91399,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1413.94,1.54459,1.11028,0.92009,0.42056,0.33411,0.32439,0.18526,1.45593,1.08223,0.90871,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1565.39,1.54528,1.10739,0.91732,0.39793,0.32946,0.31314,0.17956,1.44932,1.07056,0.90501,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1716.56,1.52647,1.08648,0.91356,0.42572,0.32752,0.32634,0.18796,1.4496,1.08276,0.90601,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1868.56,1.52265,1.07219,0.90842,0.43568,0.34355,0.33671,0.19425,1.42885,1.0546,0.90417,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2019.87,1.50576,1.0621,0.90955,0.42948,0.34924,0.33931,0.19463,1.4277,1.0413,0.90056,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2170.91,1.48605,1.04444,0.90576,0.44116,0.34505,0.33788,0.19301,1.43381,1.0447,0.90282,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2322.1,1.48554,1.03343,0.9014,0.45866,0.35657,0.35375,0.20324,1.4063,1.01787,0.898,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2473.58,1.47778,1.02646,0.90006,0.43962,0.34604,0.3432,0.19971,1.41717,1.01894,0.89705,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2624.97,1.47769,1.02236,0.89902,0.45612,0.3505,0.35536,0.20638,1.40348,1.00587,0.89689,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2776.86,1.47074,1.01813,0.90063,0.45151,0.35723,0.35617,0.20803,1.3906,1.01367,0.89184,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2927.95,1.45638,1.0057,0.89532,0.44779,0.35548,0.35684,0.20703,1.3992,0.99791,0.89189,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,3079.04,1.45387,0.99439,0.89615,0.47714,0.36116,0.36606,0.21303,1.39443,0.98856,0.89132,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,3230.17,1.45147,0.99155,0.89594,0.47777,0.36567,0.36769,0.2146,1.3846,0.98313,0.89073,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
