epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,131.777,1.96466,2.47846,1.0566,0.18143,0.16768,0.12098,0.06327,1.8163,1.59789,0.98945,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,246.59,1.89376,1.64822,0.99956,0.23431,0.18315,0.14816,0.07623,1.91873,1.5222,0.98364,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,351.671,1.92645,1.60429,0.99898,0.20611,0.20452,0.15554,0.08046,1.827,1.64625,0.98995,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,453.201,1.89286,1.54667,0.99511,0.25031,0.21837,0.18118,0.09513,1.80865,1.42281,0.97423,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,554.387,1.83815,1.47316,0.98348,0.31875,0.23761,0.21235,0.11412,1.71502,1.33839,0.96365,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,656.448,1.81779,1.43192,0.97466,0.28301,0.2411,0.21007,0.11399,1.7209,1.37212,0.96211,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,758.309,1.7753,1.38415,0.96765,0.32131,0.23379,0.22187,0.12124,1.69381,1.33021,0.95745,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,860.256,1.76649,1.35477,0.96072,0.31732,0.26005,0.22661,0.12211,1.69886,1.3128,0.95265,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,961.662,1.7354,1.32847,0.95761,0.33104,0.25322,0.23782,0.1316,1.64487,1.25239,0.94552,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1062.69,1.73942,1.32474,0.95551,0.32574,0.25015,0.2393,0.1312,1.65088,1.26683,0.94784,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1165.73,1.7174,1.29758,0.95109,0.32623,0.25532,0.23213,0.12676,1.65376,1.26134,0.9416,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1267.82,1.71644,1.28319,0.94583,0.34912,0.27116,0.25305,0.1378,1.6246,1.21729,0.94162,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1369.5,1.69843,1.27436,0.94626,0.33882,0.28223,0.25533,0.13764,1.64167,1.23497,0.94624,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
