epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.889,1.65449,1.61194,0.97911,0.33688,0.27482,0.24783,0.13853,1.48847,1.15942,0.89509,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,317.53,1.66125,1.29724,0.94458,0.35283,0.27823,0.25451,0.14247,1.52799,1.15272,0.89936,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548,0.0198764,0.00662548
3,442.425,1.72164,1.31973,0.95526,0.33524,0.25343,0.23361,0.12889,1.54307,1.2396,0.91457,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285,0.0296786,0.00989285
4,564.7,1.72728,1.31303,0.95888,0.34791,0.26758,0.25165,0.14284,1.54549,1.19541,0.90968,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,686.983,1.65812,1.24615,0.95036,0.36112,0.29803,0.26873,0.14933,1.5136,1.13006,0.91254,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,807.487,1.64903,1.23054,0.94162,0.3876,0.29976,0.29001,0.1634,1.456,1.0894,0.89451,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,926.952,1.60611,1.18559,0.9317,0.38291,0.31125,0.298,0.16968,1.43645,1.07135,0.89065,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1046.8,1.58242,1.15583,0.92797,0.39727,0.3219,0.30082,0.17173,1.42424,1.06501,0.8861,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1165.96,1.57301,1.13907,0.92407,0.40221,0.32792,0.3134,0.17971,1.41524,1.0396,0.88496,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1285.32,1.55391,1.12219,0.92132,0.4222,0.32752,0.3209,0.18457,1.41599,1.03859,0.88395,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1405.32,1.53951,1.11393,0.91597,0.41218,0.33441,0.32079,0.18597,1.39554,1.0244,0.87717,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1525.82,1.53305,1.09793,0.91535,0.41883,0.33498,0.32667,0.18738,1.40067,1.02664,0.87749,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1645.39,1.5264,1.08413,0.91284,0.43457,0.33074,0.33127,0.19028,1.38836,1.00352,0.87554,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1763.94,1.5053,1.0771,0.91135,0.41145,0.34235,0.3283,0.18954,1.37643,1.01456,0.87398,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1882.97,1.49853,1.0549,0.90709,0.43679,0.33737,0.33867,0.19502,1.37749,0.99856,0.87442,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,2005.15,1.49027,1.05609,0.90703,0.44849,0.35511,0.34886,0.20217,1.3611,0.99001,0.86994,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,2126.04,1.4868,1.05179,0.90571,0.44483,0.34721,0.34809,0.20344,1.35633,0.9756,0.86846,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,2245.1,1.46597,1.03358,0.90267,0.44375,0.34698,0.34265,0.19785,1.35938,0.98398,0.87044,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,2362.81,1.48004,1.029,0.90044,0.45765,0.35363,0.3544,0.20731,1.34487,0.97153,0.86843,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,2480.58,1.47489,1.02582,0.90051,0.47018,0.35543,0.35659,0.20936,1.34634,0.96349,0.86608,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2598.38,1.46864,1.01974,0.89945,0.44424,0.34806,0.35057,0.20483,1.34995,0.97151,0.86794,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2715.67,1.47396,1.02192,0.89879,0.4541,0.35884,0.35797,0.20803,1.33941,0.95235,0.86372,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2833.57,1.43796,0.99386,0.89548,0.46229,0.35372,0.35779,0.21034,1.33581,0.95502,0.8646,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2953.86,1.45242,1.00236,0.89201,0.46137,0.35538,0.35686,0.2089,1.33685,0.96166,0.8655,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,3074.31,1.42303,0.97808,0.89552,0.46286,0.37111,0.36939,0.21527,1.32401,0.93954,0.86284,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,3193.13,1.44633,0.99178,0.89321,0.46832,0.36021,0.36175,0.21218,1.32959,0.94802,0.86207,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,3314.03,1.43273,0.98733,0.89263,0.46626,0.37081,0.37215,0.2183,1.31618,0.93354,0.86074,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,3434.52,1.44372,0.98852,0.89424,0.46511,0.36592,0.3691,0.21503,1.32277,0.93236,0.8617,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,3554.49,1.43795,0.98315,0.88936,0.49423,0.36405,0.37272,0.21826,1.31478,0.92801,0.85989,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,3672.69,1.43355,0.97339,0.89071,0.46297,0.36466,0.36538,0.21384,1.31665,0.93772,0.85986,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,3791.52,1.43358,0.97295,0.89068,0.47407,0.36869,0.3758,0.22092,1.31182,0.92238,0.85883,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
